City,Continent,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
Timaru,Oceania,October,2027,50,Low,1740,25,-81.8,20,97
Geraldine,Oceania,November,2027,55,Low,1745,20,-82.1,25,98
Ashburton,Oceania,November,2027,60,Medium,1750,35,-82.4,20,95
Christchurch,Oceania,November,2027,55,Low,1755,30,-82.7,25,96
Kaiapoi,Oceania,November,2027,50,Low,1760,25,-83.0,20,97
Rangiora,Oceania,November,2027,55,Low,1765,20,-83.3,25,98
Amberley,Oceania,December,2027,60,Medium,1770,35,-83.6,20,95
Hanmer Springs,Oceania,December,2027,55,Low,1775,30,-83.9,25,96
Kaikoura,Oceania,December,2027,50,Low,1780,25,-84.2,20,97
Blenheim,Oceania,December,2027,55,Low,1785,20,-84.5,25,98
Picton,Oceania,December,2027,60,Medium,1790,35,-84.8,20,95
Havelock,Oceania,January,2028,55,Low,1795,30,-85.1,25,96
Wairau Valley,Oceania,January,2028,50,Low,1800,25,-85.4,20,97
St Arnaud,Oceania,January,2028,55,Low,1805,20,-85.7,25,98
Murchison,Oceania,February,2028,60,Medium,1810,35,-86.0,20,95
Reefton,Oceania,February,2028,55,Low,1815,30,-86.3,25,96
Greymouth,Oceania,February,2028,50,Low,1820,25,-86.6,20,97
Hokitika,Oceania,February,2028,55,Low,1825,20,-86.9,25,98
Fox Glacier,Oceania,March,2028,60,Medium,1830,35,-87.2,20,95
Franz Josef,Oceania,March,2028,55,Low,1835,30,-87.5,25,96
Haast,Oceania,March,2028,50,Low,1840,25,-87.8,20,97
Jackson Bay,Oceania,March,2028,55,Low,1845,20,-88.1,25,98
Wanaka,Oceania,March,2028,60,Medium,1850,35,-88.4,20,95
Cromwell,Oceania,March,2028,55,Low,1855,30,-88.7,25,96
Queenstown,Oceania,April,2028,50,Low,1860,25,-89.0,20,97
Glenorchy,Oceania,April,2028,55,Low,1865,20,-89.3,25,98
Kingston,Oceania,April,2028,60,Medium,1870,35,-89.6,20,95
Te Anau,Oceania,April,2028,55,Low,1875,30,-89.9,25,96
Milford Sound,Oceania,April,2028,50,Low,1880,25,-90.2,20,97
Manapouri,Oceania,April,2028,55,Low,1885,20,-90.5,25,98
Invercargill,Oceania,May,2028,60,Medium,1890,35,-90.8,20,95
Bluff,Oceania,May,2028,55,Low,1895,30,-91.1,25,96
Stewart Island,Oceania,May,2028,50,Low,1900,25,-91.4,20,97
Oban,Oceania,May,2028,55,Low,1905,20,-91.7,25,98
Southland,Oceania,June,2028,60,Medium,1910,35,-92.0,20,95
The Catlins,Oceania,June,2028,55,Low,1915,30,-92.3,25,96
Otago Peninsula,Oceania,June,2028,50,Low,1920,25,-92.6,20,97
Dunedin,Oceania,June,2028,55,Low,1925,20,-92.9,25,98
Moeraki,Oceania,June,2028,60,Medium,1930,35,-93.2,20,95
Oamaru,Oceania,June,2028,55,Low,1935,30,-93.5,25,96
Timaru,Oceania,June,2028,50,Low,1940,25,-93.8,20,97
Geraldine,Oceania,July,2028,55,Low,1945,20,-94.1,25,98
Ashburton,Oceania,July,2028,60,Medium,1950,35,-94.4,20,95
Christchurch,Oceania,July,2028,55,Low,1955,30,-94.7,25,96
Kaiapoi,Oceania,July,2028,50,Low,1960,25,-95.0,20,97
Rangiora,Oceania,July,2028,55,Low,1965,20,-95.3,25,98
Amberley,Oceania,July,2028,60,Medium,1970,35,-95.6,20,95
Hanmer Springs,Oceania,August,2028,55,Low,1975,30,-95.9,25,96
Kaikoura,Oceania,August,2028,50,Low,1980,25,-96.2,20,97
Blenheim,Oceania,August,2028,55,Low,1985,20,-96.5,25,98
Picton,Oceania,August,2028,60,Medium,1990,35,-96.8,20,95
Havelock,Oceania,August,2028,55,Low,1995,30,-97.1,25,96
Wairau Valley,Oceania,September,2028,50,Low,2000,25,-97.4,20,97
St Arnaud,Oceania,September,2028,55,Low,2005,20,-97.7,25,98
Murchison,Oceania,September,2028,60,Medium,2010,35,-98.0,20,95
Reefton,Oceania,September,2028,55,Low,2015,30,-98.3,25,96
Greymouth,Oceania,September,2028,50,Low,2020,25,-98.6,20,97
Hokitika,Oceania,September,2028,55,Low,2025,20,-98.9,25,98
Fox Glacier,Oceania,October,2028,60,Medium,2030,35,-99.2,20,95
Franz Josef,Oceania,October,2028,55,Low,2035,30,-99.5,25,96
Haast,Oceania,October,2028,50,Low,2040,25,-99.8,20,97
Jackson Bay,Oceania,October,2028,55,Low,2045,20,-100.1,25,98
Wanaka,Oceania,October,2028,60,Medium,2050,35,-100.4,20,95
Cromwell,Oceania,October,2028,55,Low,2055,30,-100.7,25,96
Queenstown,Oceania,November,2028,50,Low,2060,25,-101.0,20,97
Glenorchy,Oceania,November,2028,55,Low,2065,20,-101.3,25,98
Kingston,Oceania,November,2028,60,Medium,2070,35,-101.6,20,95
Te Anau,Oceania,November,2028,55,Low,2075,30,-101.9,25,96
Milford Sound,Oceania,November,2028,50,Low,2080,25,-102.2,20,97
Manapouri,Oceania,November,2028,55,Low,2085,20,-102.5,25,98
Invercargill,Oceania,December,2028,60,Medium,2090,35,-102.8,20,95
Bluff,Oceania,December,2028,55,Low,2095,30,-103.1,25,96
Stewart Island,Oceania,December,2028,50,Low,2100,25,-103.4,20,97
Oban,Oceania,December,2028,55,Low,2105,20,-103.7,25,98
Southland,Oceania,January,2029,60,Medium,2110,35,-104.0,20,95
The Catlins,Oceania,January,2029,55,Low,2115,30,-104.3,25,96
Otago Peninsula,Oceania,January,2029,50,Low,2120,25,-104.6,20,97
Dunedin,Oceania,January,2029,55,Low,2125,20,-104.9,25,98
Moeraki,Oceania,January,2029,60,Medium,2130,35,-105.2,20,95
Oamaru,Oceania,January,2029,55,Low,2135,30,-105.5,25,96
Timaru,Oceania,February,2029,50,Low,2140,25,-105.8,20,97
Geraldine,Oceania,February,2029,55,Low,2145,20,-106.1,25,98
Ashburton,Oceania,February,2029,60,Medium,2150,35,-106.4,20,95
Christchurch,Oceania,February,2029,55,Low,2155,30,-106.7,25,96
Kaiapoi,Oceania,February,2029,50,Low,2160,25,-107.0,20,97
Rangiora,Oceania,February,2029,55,Low,2165,20,-107.3,25,98
Amberley,Oceania,March,2029,60,Medium,2170,35,-107.6,20,95
Hanmer Springs,Oceania,March,2029,55,Low,2175,30,-107.9,25,96
Kaikoura,Oceania,March,2029,50,Low,2180,25,-108.2,20,97
Blenheim,Oceania,March,2029,55,Low,2185,20,-108.5,25,98
Picton,Oceania,March,2029,60,Medium,2190,35,-108.8,20,95
Havelock,Oceania,March,2029,55,Low,2195,30,-109.1,25,96
Wairau Valley,Oceania,April,2029,50,Low,2200,25,-109.4,20,97
St Arnaud,Oceania,April,2029,55,Low,2205,20,-109.7,25,98
Murchison,Oceania,April,2029,60,Medium,2210,35,-110.0,20,95
Reefton,Oceania,April,2029,55,Low,2215,30,-110.3,25,96
Greymouth,Oceania,April,2029,50,Low,2220,25,-110.6,20,97
Hokitika,Oceania,May,2029,55,Low,2225,20,-110.9,25,98
Fox Glacier,Oceania,May,2029,60,Medium,2230,35,-111.2,20,95
Franz Josef,Oceania,May,2029,55,Low,2235,30,-111.5,25,96
Haast,Oceania,May,2029,50,Low,2240,25,-111.8,20,97
Jackson Bay,Oceania,May,2029,55,Low,2245,20,-112.1,25,98
Wanaka,Oceania,May,2029,60,Medium,2250,35,-112.4,20,95
Cromwell,Oceania,May,2029,55,Low,2255,30,-112.7,25,96
Queenstown,Oceania,June,2029,50,Low,2260,25,-113.0,20,97
Glenorchy,Oceania,June,2029,55,Low,2265,20,-113.3,25,98
Kingston,Oceania,June,2029,60,Medium,2270,35,-113.6,20,95
Te Anau,Oceania,June,2029,55,Low,2275,30,-113.9,25,96
Milford Sound,Oceania,June,2029,50,Low,2280,25,-114.2,20,97
Manapouri,Oceania,June,2029,55,Low,2285,20,-114.5,25,98
Invercargill,Oceania,July,2029,60,Medium,2290,35,-114.8,20,95
Bluff,Oceania,July,2029,55,Low,2295,30,-115.1,25,96
Stewart Island,Oceania,July,2029,50,Low,2300,25,-115.4,20,97
Oban,Oceania,July,2029,55,Low,2305,20,-115.7,25,98
Southland,Oceania,August,2029,60,Medium,2310,35,-116.0,20,95
The Catlins,Oceania,August,2029,55,Low,2315,30,-116.3,25,96
Otago Peninsula,Oceania,August,2029,50,Low,2320,25,-116.6,20,97
Dunedin,Oceania,August,2029,55,Low,2325,20,-116.9,25,98
Moeraki,Oceania,September,2029,60,Medium,2330,35,-117.2,20,95
Oamaru,Oceania,September,2029,55,Low,2335,30,-117.5,25,96
Timaru,Oceania,September,2029,50,Low,2340,25,-117.8,20,97
Geraldine,Oceania,September,2029,55,Low,2345,20,-118.1,25,98
Ashburton,Oceania,September,2029,60,Medium,2350,35,-118.4,20,95
Christchurch,Oceania,September,2029,55,Low,2355,30,-118.7,25,96
Kaiapoi,Oceania,October,2029,50,Low,2360,25,-119.0,20,97
Rangiora,Oceania,October,2029,55,Low,2365,20,-119.3,25,98
Amberley,Oceania,October,2029,60,Medium,2370,35,-119.6,20,95
Hanmer Springs,Oceania,October,2029,55,Low,2375,30,-119.9,25,96
Kaikoura,Oceania,October,2029,50,Low,2380,25,-120.2,20,97
Blenheim,Oceania,November,2029,55,Low,2385,20,-120.5,25,98
Picton,Oceania,November,2029,60,Medium,2390,35,-120.8,20,95
Havelock,Oceania,November,2029,55,Low,2395,30,-121.1,25,96
Wairau Valley,Oceania,November,2029,50,Low,2400,25,-121.4,20,97
St Arnaud,Oceania,November,2029,55,Low,2405,20,-121.7,25,98
Murchison,Oceania,December,2029,60,Medium,2410,35,-122.0,20,95
Reefton,Oceania,December,2029,55,Low,2415,30,-122.3,25,96
Greymouth,Oceania,December,2029,50,Low,2420,25,-122.6,20,97
Hokitika,Oceania,December,2029,55,Low,2425,20,-122.9,25,98
